Table 8,,,,,,,,,,,,,
CALIFORNIA,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2013",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Hawthorne,"86,132",580,6,,32,299,243,"2,242",523,"1,333",386,6,
Hayward,"150,955",589,5,,33,333,218,"4,844","1,051","2,122","1,671",21,
Healdsburg,"11,483",25,0,,3,2,20,236,47,181,8,0,
Hemet,"81,698",447,4,,24,173,246,"3,963","1,110","2,294",559,1,
Hercules,"24,831",22,0,,2,6,14,274,83,143,48,0,
Hermosa Beach,"19,858",27,0,,4,6,17,549,119,395,35,0,
Hesperia,"92,621",371,1,,17,83,270,"2,330",869,"1,052",409,15,
Hidden Hills,"1,905",2,0,,0,2,0,7,6,1,0,0,
Highland,"54,462",191,3,,8,56,124,"1,362",480,527,355,9,
Hillsborough,"11,245",0,0,,0,0,0,57,32,23,2,0,
Hollister,"36,414",195,4,,14,26,151,570,185,312,73,7,
Holtville,"6,022",12,0,,2,1,9,102,26,67,9,0,
Hughson,"6,898",7,0,,0,1,6,147,50,77,20,1,
Huntington Beach,"195,842",362,2,,31,100,229,"4,934",793,"3,796",345,25,
Huntington Park,"58,852",359,1,,6,197,155,"1,812",220,"1,003",589,5,
Huron,"6,812",71,1,,2,16,52,271,96,134,41,2,
Imperial,"15,943",7,0,,0,1,6,86,18,53,15,0,
Imperial Beach,"26,998",133,1,,6,25,101,454,125,228,101,3,
Indian Wells,"5,174",7,0,,0,2,5,172,48,116,8,0,
Indio,"80,243",468,1,,34,120,313,"2,699",792,"1,335",572,9,
Industry,223,51,0,,4,18,29,"1,041",110,705,226,1,
Inglewood,"111,672",739,14,,29,326,370,"2,718",637,"1,441",640,23,
Ione,"7,160",6,0,,0,1,5,101,28,65,8,1,
Irvine,"235,830",113,2,,12,38,61,"3,285",583,"2,553",149,10,
Irwindale,"1,440",20,0,,1,4,15,229,40,145,44,3,
Isleton,817,9,0,,0,3,6,46,23,23,0,0,
Jackson,"4,549",23,0,,2,2,19,179,60,112,7,5,
Jurupa Valley,"98,090",267,3,,12,75,177,"3,065",570,"1,732",763,2,
Kensington,"5,230",5,0,,0,0,5,85,36,35,14,2,
Kerman,"14,543",45,0,,2,9,34,436,120,233,83,1,
King City,"13,260",68,5,,0,20,43,201,84,93,24,2,
Kingsburg,"11,651",23,0,,3,2,18,327,111,162,54,2,
La Canada Flintridge,"20,572",12,0,,0,3,9,303,96,196,11,1,
Lafayette,"24,829",21,0,,0,6,15,413,110,275,28,0,
Laguna Beach,"23,313",41,0,,3,5,33,469,87,356,26,5,
Laguna Hills,"31,134",53,0,,3,12,38,508,75,390,43,1,
Laguna Niguel,"64,894",57,0,,4,13,40,624,95,500,29,1,
Laguna Woods,"16,584",5,0,,2,1,2,132,22,100,10,2,
La Habra,"61,740",88,0,,8,33,47,"1,155",185,856,114,0,
La Habra Heights,"5,437",3,0,,1,0,2,55,33,20,2,0,
Lake Elsinore,"56,232",103,3,,2,32,66,"1,494",418,858,218,1,
Lake Forest,"79,336",105,2,,12,23,68,813,150,620,43,1,
Lakeport,"4,674",14,0,,2,1,11,272,60,192,20,0,
Lake Shastina,"2,482",2,0,,0,0,2,10,4,4,2,0,
Lakewood,"81,086",225,2,,11,110,102,"2,062",419,"1,356",287,9,
La Mesa,"58,482",181,1,,7,64,109,"1,968",354,"1,381",233,3,
La Mirada,"49,150",72,1,,9,14,48,841,207,520,114,3,
Lancaster,"159,792",832,9,,40,261,522,"3,495","1,062","2,030",403,49,
La Palma,"15,950",10,0,,0,8,2,326,80,221,25,3,
La Puente,"40,415",143,3,,12,48,80,493,149,219,125,5,
La Quinta,"39,150",68,0,,5,26,37,"1,494",402,"1,002",90,4,
La Verne,"31,439",37,0,,1,21,15,753,158,548,47,1,
Lawndale,"33,234",162,1,,9,51,101,419,151,172,96,4,
Lemon Grove,"26,156",145,1,,8,45,91,509,120,279,110,2,
Lemoore,"24,802",111,0,,6,28,77,608,112,408,88,5,
Lincoln,"44,831",25,0,,6,7,12,553,183,326,44,7,
Lindsay,"13,208",40,0,,1,12,27,310,99,161,50,2,
Livermore,"84,350",270,0,,12,44,214,"1,830",387,"1,275",168,15,
Livingston,"13,683",33,2,,1,2,28,196,39,127,30,1,
Lodi,"63,639",287,1,,11,89,186,"2,301",634,"1,302",365,15,
Loma Linda,"23,701",61,0,,1,10,50,721,166,402,153,3,
Lomita,"20,622",66,0,,2,17,47,414,114,231,69,1,
Lompoc,"43,581",188,0,,17,31,140,"1,051",311,660,80,17,
Long Beach,"469,665","2,346",34,,103,"1,118","1,091","12,999","3,776","6,868","2,355",97,
Los Alamitos,"11,735",24,0,,2,11,11,360,108,213,39,0,
Los Altos,"30,225",23,0,,5,13,5,358,79,262,17,4,
Los Altos Hills,"8,300",2,0,,1,0,1,83,47,35,1,3,
Los Angeles,"3,878,725","16,524",251,,764,"7,885","7,624","85,844","15,728","55,734","14,382","1,430",
Los Banos,"36,965",109,1,,3,31,74,"1,060",257,696,107,4,
Los Gatos,"30,351",25,0,,3,5,17,551,132,376,43,5,
Lynwood,"71,077",436,2,,14,189,231,"1,528",325,649,554,12,
Madera,"62,973",568,7,,28,107,426,"1,855",589,"1,010",256,0,
Malibu,"12,891",28,0,,3,11,14,350,81,246,23,1,
Mammoth Lakes,"8,258",18,0,,0,5,13,152,33,113,6,1,
Manhattan Beach,"35,930",64,0,,5,34,25,853,194,623,36,1,
Manteca,"72,261",212,0,,4,79,129,"2,699",489,"1,883",327,22,
Marina,"20,426",50,0,,4,13,33,560,234,298,28,4,
Martinez,"36,910",53,0,,3,17,33,824,202,441,181,0,
Marysville,"12,168",87,0,,10,17,60,539,135,269,135,6,
Maywood,"27,744",112,4,,4,32,72,320,52,132,136,2,
McFarland,"12,288",65,1,,2,18,44,274,88,58,128,12,
Mendota,"11,472",38,1,,1,15,21,294,75,176,43,18,
Menifee,"82,634",99,3,,6,21,69,"1,680",391,979,310,3,
Menlo Park,"33,146",53,0,,3,18,32,644,180,436,28,3,
Merced,"81,329",556,5,,19,133,399,"2,647",644,"1,608",395,104,
Mill Valley,"14,239",11,0,,0,2,9,229,78,143,8,0,
Milpitas,"69,522",93,1,,8,56,28,"2,067",291,"1,491",285,8,
Mission Viejo,"95,895",62,0,,4,22,36,998,156,802,40,4,
Modesto,"204,252","1,704",14,,72,450,"1,168","9,989","2,251","6,349","1,389",62,
Monrovia,"37,071",57,0,,1,23,33,806,128,592,86,0,
Montague,"1,411",2,0,,0,0,2,16,5,11,0,1,
Montclair,"37,785",187,2,,11,79,95,"1,623",288,962,373,14,
Montebello,"63,566",183,2,,11,81,89,"1,756",711,549,496,47,
Monterey,"29,338",120,1,,10,38,71,"1,108",220,835,53,2,
Monterey Park,"61,152",104,0,,8,60,36,"1,162",316,637,209,0,
Monte Sereno,"3,491",1,0,,1,0,0,33,14,18,1,0,
Moorpark,"35,264",37,0,,3,7,27,409,68,315,26,3,
Moraga,"16,664",11,0,,4,0,7,150,37,92,21,1,
Moreno Valley,"201,284",638,10,,31,312,285,"5,872","1,822","3,224",826,4,
Morgan Hill,"39,907",63,1,,11,10,41,676,162,416,98,2,
Morro Bay,"10,412",31,0,,3,1,27,171,57,105,9,1,
Mountain View,"77,399",157,0,,13,32,112,"1,706",294,"1,277",135,4,
Mount Shasta,"3,309",5,0,,0,2,3,69,14,48,7,0,
Murrieta,"107,768",70,1,,10,21,38,"1,640",285,"1,149",206,8,
Napa,"78,761",255,2,,26,47,180,"1,409",304,975,130,16,
National City,"59,637",314,1,,11,137,165,"1,890",286,"1,189",415,7,
Needles,"4,932",15,1,,1,5,8,208,88,88,32,1,
Nevada City,"3,039",26,0,,3,1,22,129,36,78,15,0,
Newark,"43,950",123,1,,9,40,73,"1,062",231,658,173,2,
Newman,"10,691",36,0,,0,4,32,198,38,124,36,2,
Newport Beach,"87,639",73,2,,7,13,51,"2,158",454,"1,600",104,11,
Norco,"27,497",42,1,,2,7,32,594,149,367,78,3,
Norwalk,"106,518",407,6,,16,150,235,"2,246",420,"1,262",564,10,
Novato,"53,735",107,0,,5,30,72,836,215,496,125,20,
Oakdale,"21,340",50,0,,9,14,27,826,239,503,84,2,
Oakland,"403,887","7,984",90,,180,"4,922","2,792","25,176","5,058","13,285","6,833",140,
Oakley,"37,824",70,0,,4,19,47,497,137,266,94,3,
Oceanside,"172,525",634,9,,41,182,402,"4,494",677,"3,417",400,24,
Ojai,"7,585",14,0,,4,3,7,103,15,80,8,2,
Ontario,"168,144",453,9,,31,167,246,"4,507",830,"2,586","1,091",28,
Orange,"140,304",147,4,,8,64,71,"2,418",473,"1,673",272,15,
Orange Cove,"9,750",212,0,,15,8,189,880,272,483,125,0,
Orinda,"18,520",10,0,,0,0,10,214,103,103,8,0,
Orland,"7,420",27,0,,3,5,19,175,52,107,16,3,
Oroville,"15,581",78,2,,10,26,40,"1,011",258,593,160,10,
Oxnard,"202,594",651,15,,10,328,298,"5,074",974,"3,436",664,36,
Pacifica,"38,494",66,0,,8,7,51,546,114,361,71,3,
Pacific Grove,"15,518",22,0,,2,7,13,308,84,207,17,5,
Palmdale,"156,522",759,10,,27,257,465,"3,344","1,049","1,928",367,28,
Palm Desert,"50,456",110,2,,7,30,71,"2,215",572,"1,511",132,4,
Palm Springs,"46,282",255,0,,19,99,137,"2,350",712,"1,342",296,9,
Palo Alto,"66,964",54,0,,4,29,21,"1,483",242,"1,174",67,10,
Palos Verdes Estates,"13,658",6,0,,1,0,5,147,54,89,4,2,
Paradise,"26,222",68,1,,11,7,49,530,214,242,74,0,
Paramount,"54,868",222,3,,8,122,89,"1,633",266,863,504,7,
Parlier,"14,856",91,2,,6,18,65,375,111,156,108,15,
Pasadena,"139,003",434,3,,25,162,244,"3,779",939,"2,553",287,27,
Paso Robles,"30,795",103,2,,8,6,87,848,211,595,42,4,
Patterson,"20,733",41,1,,2,26,12,631,206,327,98,3,
Perris,"72,171",241,6,,1,102,132,"2,038",489,"1,067",482,3,
Petaluma,"59,224",179,0,,17,31,131,"1,013",159,778,76,12,
Pico Rivera,"63,710",207,3,,7,65,132,"1,521",262,924,335,11,
Piedmont,"10,963",20,0,,0,13,7,292,116,126,50,2,
Pinole,"18,848",69,2,,9,30,28,685,128,475,82,2,
Pismo Beach,"7,824",22,0,,5,3,14,317,146,159,12,0,
Pittsburg,"66,387",185,4,,2,111,68,"2,022",567,826,629,5,
Placentia,"52,002",66,2,,6,16,42,784,173,531,80,1,
Placerville,"10,339",63,0,,3,7,53,294,92,172,30,0,
Pleasant Hill,"34,044",55,0,,1,40,14,"1,469",206,"1,110",153,3,
Pleasanton,"72,975",60,0,,3,29,28,"1,281",185,979,117,10,
Pomona,"151,366",809,29,,31,295,454,"4,394",847,"2,591",956,17,
Porterville,"55,267",194,8,,8,44,134,"1,506",472,801,233,5,
Port Hueneme,"21,910",57,1,,4,11,41,405,112,251,42,1,
Poway,"49,444",90,0,,8,16,66,575,170,360,45,2,
Rancho Cordova,"67,634",352,5,,11,101,235,"2,202",478,"1,499",225,2,
Rancho Cucamonga,"172,262",331,1,,14,128,188,"3,824","1,374","1,972",478,17,
Rancho Mirage,"17,816",26,0,,1,8,17,636,156,443,37,0,
Rancho Palos Verdes,"42,542",30,0,,1,7,22,580,175,369,36,0,
Rancho Santa Margarita,"49,190",17,0,,3,6,8,290,77,200,13,1,
Red Bluff,"14,170",146,3,,9,19,115,938,291,570,77,3,
Redding,"91,035",585,2,,49,146,388,"3,774",742,"2,483",549,5,
Redlands,"70,282",215,2,,15,84,114,"3,020",605,"2,047",368,21,
Redondo Beach,"67,993",160,1,,4,43,112,"1,588",309,"1,146",133,1,
Redwood City,"79,707",190,1,,26,66,97,"1,871",507,"1,138",226,13,
Reedley,"25,018",157,0,,7,25,125,529,173,244,112,1,
Rialto,"102,520",434,4,,19,192,219,"2,717",798,"1,148",771,20,
Richmond,"107,341","1,112",16,,35,407,654,"4,826","1,631","1,685","1,510",23,
Ridgecrest,"28,537",154,4,,9,24,117,570,212,313,45,11,
Rio Dell,"3,368",11,0,,0,0,11,46,21,22,3,0,
Rio Vista,"7,622",32,0,,3,4,25,245,113,117,15,2,
Ripon,"14,802",15,0,,1,5,9,342,66,253,23,1,
Riverbank,"23,474",37,0,,1,13,23,685,208,400,77,1,
Riverside,"316,423","1,330",10,,78,495,747,"10,608","1,978","6,912","1,718",75,
Rocklin,"59,621",62,0,,5,17,40,"1,011",273,678,60,6,
Rohnert Park,"41,326",180,1,,16,24,139,687,136,487,64,4,
Rolling Hills,"1,894",0,0,,0,0,0,11,5,6,0,0,
Rolling Hills Estates,"8,229",3,0,,0,1,2,118,29,82,7,0,
Rosemead,"54,587",149,0,,6,65,78,"1,067",288,615,164,3,
Roseville,"126,236",261,1,,13,64,183,"3,343",482,"2,623",238,17,
Ross,"2,447",1,0,,0,0,1,48,21,24,3,0,
Sacramento,"478,182","3,137",34,,95,"1,158","1,850","17,980","3,886","11,233","2,861",164,
Salinas,"155,742","1,001",24,,36,451,490,"5,356","1,148","2,720","1,488",36,
San Bernardino,"214,322","1,949",45,,74,794,"1,036","9,389","2,673","4,025","2,691",87,
San Bruno,"42,495",102,1,,8,35,58,"1,002",131,780,91,1,
San Clemente,"65,295",56,0,,3,21,32,844,209,582,53,2,
Sand City,344,3,0,,0,0,3,99,14,81,4,0,
San Diego,"1,349,306","5,303",39,,316,"1,456","3,492","31,728","6,355","19,230","6,143",178,
San Dimas,"33,854",65,0,,4,18,43,706,176,463,67,1,
San Fernando,"23,955",85,0,,2,28,55,399,69,258,72,2,
San Francisco,"833,863","7,064",48,,161,"4,202","2,653","48,324","5,931","36,527","5,866",227,
San Gabriel,"40,287",103,1,,5,31,66,724,175,493,56,1,
Sanger,"24,649",146,2,,15,25,104,726,179,433,114,1,
San Jacinto,"45,714",124,5,,6,64,49,"1,805",469,"1,092",244,0,
San Jose,"992,143","3,215",38,,270,"1,095","1,812","25,510","5,173","12,411","7,926",133,
San Juan Capistrano,"35,585",57,0,,0,13,44,439,115,302,22,2,
San Leandro,"87,490",394,3,,26,251,114,"3,960",761,"2,287",912,10,
San Luis Obispo,"46,095",161,0,,34,26,101,"1,775",328,"1,384",63,44,
San Marcos,"87,712",214,0,,19,62,133,"1,400",299,931,170,7,
San Marino,"13,308",20,0,,2,3,15,224,83,140,1,0,
San Mateo,"100,440",239,0,,29,85,125,"2,065",309,"1,601",155,12,
San Pablo,"29,893",200,0,,2,102,96,"1,170",305,512,353,4,
San Rafael,"58,725",206,0,,26,77,103,"1,812",366,"1,114",332,19,
San Ramon,"74,434",27,0,,0,14,13,760,171,485,104,10,
Santa Ana,"332,848","1,121",13,,51,463,594,"6,425",803,"4,163","1,459",33,
Santa Barbara,"90,006",362,2,,32,82,246,"2,670",459,"2,091",120,17,
Santa Clara,"120,150",172,0,,13,55,104,"3,023",461,"2,169",393,18,
Santa Clarita,"204,951",276,2,,19,97,158,"2,713",704,"1,760",249,17,
Santa Cruz,"62,517",407,4,,33,85,285,"3,163",552,"2,383",228,21,
Santa Fe Springs,"16,936",75,0,,3,28,44,"1,206",135,830,241,2,
Santa Maria,"102,051",490,3,,34,122,331,"2,934",647,"1,557",730,13,
Santa Monica,"92,488",324,7,,27,120,170,"3,544",573,"2,806",165,21,
Santa Paula,"30,159",108,6,,6,33,63,536,103,358,75,6,
Santa Rosa,"171,564",541,3,,42,105,391,"3,506",638,"2,559",309,25,
Santee,"55,924",156,0,,5,31,120,"1,165",170,888,107,3,
Saratoga,"30,897",14,0,,3,4,7,222,89,123,10,2,
